region;area;city;settlement;street;house
Ханты-Мансийский Автономный округ - Югра АО;;г Сургут;;ул 30 лет Победы;57
Липецкая обл;;г Липецк;;ул Московская;34А
Пермский край;;г Пермь;;ул Василия Васильева;9
Респ Башкортостан;;г Уфа;;ул Новочеркасская;8
Челябинская обл;Саткинский р-н;г Сатка;;ул Бакальская;8Б
Ленинградская обл;Лодейнопольский р-н;г Лодейное Поле;;ул Железнодорожная;7
Новгородская обл;Боровичский р-н;г Боровичи;;пл Володарского;34
Московская обл;г Воскресенск;;;ул Вокзальная;35
Камчатский край;;г Петропавловск-Камчатский;;ул Пограничная;46/5
Курская обл;;г Курск;;пр-кт Кулакова;148Г
Тюменская обл;;г Тюмень;;ул Тимофея Чаркова;43
Ханты-Мансийский Автономный округ - Югра АО;;г Нягань;;ул Сибирская;4А
Респ Башкортостан;;г Уфа;;ул Интернациональная;1
Томская обл;;г Томск;;ул Профсоюзная;37
Ленинградская обл;Волховский р-н;г Волхов;;пр-кт Волховский;17
Челябинская обл;;г Миасс;;ул Богдана Хмельницкого;4
Челябинская обл;;г Челябинск;;ш Копейское;35Д
Вологодская обл;Бабаевский р-н;г Бабаево;;ул Северная;44
Тамбовская обл;;г Мичуринск;;ул Гастелло;2
Саратовская обл;Турковский р-н;;рп Турки;ул Элеваторная;23Б
Нижегородская обл;Кстовский р-н;г Кстово;;ул Магистральная;26
Красноярский край;;г Красноярск;;пер Телевизорный;3
г Санкт-Петербург;;;;пр-кт Ириновский;1
Омская обл;;г Омск;;ул Съездовская;33
Пермский край;;г Пермь;;ул Чернышевского;3А
Ленинградская обл;Подпорожский р-н;г Подпорожье;;пр-кт Кирова;5
г Санкт-Петербург;;;;ш Революции;86
Новгородская обл;;г Великий Новгород;;пер Базовый;6
Респ Башкортостан;Илишевский р-н;;с Верхнеяркеево;ул Худайбердина;13
Свердловская обл;;г Екатеринбург;;ул Бебеля;63Б
Челябинская обл;;г Челябинск;;ул Дружбы;29
Респ Карелия;;г Петрозаводск;р-н Рыбка;ул Новосулажгорская;6
Новгородская обл;;г Великий Новгород;;ул Рабочая;53
Нижегородская обл;Балахнинский р-н;г Балахна;;ул Рязанова;8
Оренбургская обл;;г Оренбург;;ул Шоссейная;24Б
Респ Башкортостан;;г Уфа;;ул Маршала Жукова;49
г Санкт-Петербург;;;;ул Коли Томчака;28
Респ Марий Эл;;г Йошкар-Ола;;сл Красноармейская;57
Московская обл;;г Мытищи;;ул 3-я Колхозная;9
Кемеровская область - Кузбасс;;г Кемерово;;пр-кт Октябрьский;30А
Архангельская обл;;г Архангельск;;ул Гайдара;63
Респ Башкортостан;;г Уфа;;ул Пархоменко;202/1
Краснодарский край;;г Краснодар;;ул им. Мачуги В.Н.;38
Волгоградская обл;;г Волгоград;;ул Латвийская;27
Рязанская обл;;г Рязань;;ул Фирсова;24А
Рязанская обл;;г Рязань;;ул Вокзальная;44Б
Челябинская обл;;г Троицк;;ул им. Ю.А. Гагарина;114
Чувашская Республика - Чувашия;;г Чебоксары;;ш Марпосадское;7
Пензенская обл;;г Пенза;;ул Литвинова;20
Московская обл;г Одинцово;;с Немчиновка;ул Московская;14
Пермский край;;г Березники;;ул Большевистская;8
Самарская обл;;г Самара;;ул Ново-Урицкая;22
Московская обл;;г Подольск;тер автодорога М-2 Крым;км 30-й;1
Курская обл;;г Железногорск;;ул Советская;33
Калужская обл;;г Обнинск;;ш Киевское;49А
Московская обл;г Пушкино;г Ивантеевка;;ул Толмачева;8
г Санкт-Петербург;;;п Парголово;ш Выборгское;214
Самарская обл;;г Самара;;ул Алма-Атинская;218
Самарская обл;;г Сызрань;;пр-кт 50 лет Октября;5
Томская обл;;г Томск;;ул Шевченко;49Е
Респ Крым;;г Симферополь;;ул Генерала Васильева;27А
Архангельская обл;Котласский р-н;г Котлас;;ул Ленина;165
Кемеровская область - Кузбасс;;г Междуреченск;;ул Весенняя;29
Ростовская обл;Морозовский р-н;г Морозовск;;ул Кирова;95
Респ Удмуртская;;г Сарапул;;ул Карла Маркса;24
Воронежская обл;;г Воронеж;;пр-кт Патриотов;47
г Санкт-Петербург;;;;пр-кт Северный;7
Респ Марий Эл;Моркинский р-н;;пгт Морки;ул Карла Маркса;13
Тамбовская обл;;г Моршанск;;ул Лотикова;85
Респ Коми;;г Ухта;;ул Сенюкова;4Б
Ростовская обл;;г Новошахтинск;;ул Харьковская;4
Московская обл;г Клин;;;ш Ленинградское;8
г Москва;;г Щербинка;;ш Симферопольское;10А
Саратовская обл;;г Саратов;;пр-кт Строителей;37А
Ростовская обл;Цимлянский р-н;г Цимлянск;;ул Заводская;1А
Иркутская обл;;г Усолье-Сибирское;тер Промышленный массив;ул Индустриальная;1
Респ Татарстан;;г Набережные Челны;;пр-кт Мира;18А
г Москва;;;;ул Большая Косинская;18Г
Новосибирская обл;;г Новосибирск;;ул Станционная;62/3
Рязанская обл;;г Рязань;;ш Московское;59
Чувашская Республика - Чувашия;;г Чебоксары;;ул Якимовская;107
Нижегородская обл;;г Нижний Новгород;;тер ГСК N1 по ул.Удмуртская;67Б
Респ Хакасия;;г Абакан;;ул Итыгина;28
Саратовская обл;;г Пугачев;;ул Максима Горького;151А
Пермский край;;г Лысьва;;ул Коммунаров;40
Рязанская обл;;г Сасово;;ул Революции;119
Томская обл;;г Северск;;ул Транспортная;9А
г Москва;;;;проезд Загорьевский;11А
г Санкт-Петербург;;;;ул Руставели;31
Челябинская обл;;г Озерск;;ул Дзержинского;67
Ставропольский край;;г Ставрополь;;ул 3 Промышленная;3
Респ Татарстан;Нижнекамский р-н;г Нижнекамск;;ул Студенческая;21А
Омская обл;;г Омск;;ул 70 лет Октября;25/45А
Вологодская обл;Великоустюгский р-н;г Великий Устюг;;ул Шильниковского;63
Волгоградская обл;Урюпинский р-н;;х Ольшанка;ул Комарова;71
Красноярский край;;г Красноярск;;ул Караульная;32
Ростовская обл;Зимовниковский р-н;;п Зимовники;ул Магистральная;68А
г Санкт-Петербург;;;;пр-кт Лесной;15
Свердловская обл;;г Ревда;;ул Энгельса;61Б
Ростовская обл;Морозовский р-н;г Морозовск;;пер Загородний;56
Тульская обл;;г Тула;;ул Кауля;1
Волгоградская обл;;г Волгоград;;ул Качинцев;75Г
Вологодская обл;;г Вологда;;проезд Говоровский;4
Брянская обл;Клинцовский р-н;;п Первое Мая;ул Скачковская;51А
Иркутская обл;;г Усть-Кут;;ул Геологическая;33
Ростовская обл;;г Донецк;;ул Королева;3А
Московская обл;;г Солнечногорск;мкр Рекинцо;;29А
Архангельская обл;;г Архангельск;;пр-кт Московский;25
Свердловская обл;;г Кушва;тер Промышленный район Гормолзавода;;1
Самарская обл;;г Самара;;проезд Мальцева;4
Астраханская обл;;г Астрахань;;ул Ереванская;1
Владимирская обл;Киржачский р-н;г Киржач;;ул Б. Московская;58
Респ Башкортостан;Мелеузовский р-н;г Мелеуз;;ул Береговая;26
Саратовская обл;;г Саратов;;ш Ново-Астраханское;109
Краснодарский край;;г Новороссийск;;ш Сухумское;110А
Волгоградская обл;;г Фролово;;ул 40 лет Октября;187
Кировская обл;;г Киров;;ул Ленина;129А
Свердловская обл;Верхотурский р-н;г Верхотурье;;ул Заводская;9Б
Чувашская Республика - Чувашия;;г Чебоксары;;пр-кт Максима Горького;3
Нижегородская обл;;г Саров;;ул Зернова;20
Московская обл;;г Видное;д Апаринки;;5
Московская обл;;г Подольск;с Покров;;150А
Тюменская обл;;г Ишим;;ул Республики;1Г
Респ Башкортостан;Туймазинский р-н;г Туймазы;;ул Горького;42
Калужская обл;;г Обнинск;;ул Кабицынская;16
Челябинская обл;;г Магнитогорск;;ул Галиуллина;12
Кировская обл;;г Киров;;ул Профсоюзная;7А
Курганская обл;;г Шадринск;;ул Володарского;1
Нижегородская обл;;г Саров;;ул Кирова;11
Оренбургская обл;;г Оренбург;;ш Загородное;50
Ленинградская обл;Лужский р-н;;д Заклинье (Заклинское с/п);ш Батецкое;4
г Москва;;;;проезд Таможенный;6
Иркутская обл;;г Иркутск;;ул Баррикад;2
Московская обл;;г Люберцы;;ул Митрофанова;2
Пермский край;;г Лысьва;;ул Революции;45А
Самарская обл;;г Сызрань;;ул Рабочая;85
Респ Северная Осетия - Алания;;г Владикавказ;;ул Мамсурова Хаджи;70
Тамбовская обл;;г Тамбов;;ул Киквидзе;116
Владимирская обл;;г Владимир;;ул Погодина;5Г
Воронежская обл;Калачеевский р-н;г Калач;;ул 1 Мая;136
Омская обл;;г Омск;;ул Богдана Хмельницкого;108
Оренбургская обл;;г Оренбург;;ул Терешковой;291
Челябинская обл;;г Челябинск;;ул Труда;187
Костромская обл;Шарьинский р-н;г Шарья;;ул Ленина;144
г Москва;;;;ул Южнопортовая;22А
Владимирская обл;Собинский р-н;;с Ворша;ул Центральная;31
Новосибирская обл;;г Новосибирск;;ул Зыряновская;18
Оренбургская обл;;г Бузулук;;ул Суворова;2Б
Ямало-Ненецкий АО;;г Лабытнанги;;ул Обская;46
Тверская обл;;г Тверь;;пер Беляковский;46
Иркутская обл;;г Братск;жилрайон Энергетик;проезд Стройиндустрии;50
Кемеровская область - Кузбасс;;г Прокопьевск;;ул Высокогорная;14
Оренбургская обл;;г Орск;;ул Тагильская;9
Калужская обл;;г Калуга;;ул Зерновая;32
Курганская обл;;г Курган;;ул Омская;181
Тверская обл;;г Удомля;;ул Тверская;1
Тюменская обл;;г Тюмень;;ул Тимофея Чаркова;6
Респ Алтай;;г Горно-Алтайск;;ул Бийская;21
Ростовская обл;;г Таганрог;;пер 1-й Новый;22
Ямало-Ненецкий АО;;г Новый Уренгой;;мкр Северная коммунальная зона;11
Иркутская обл;;г Тулун;;ул Ленина;33
Респ Башкортостан;;г Октябрьский;;пр-кт Ленина;92/3
Томская обл;Асиновский р-н;г Асино;;ул имени Ленина;57Б
Ростовская обл;;г Ростов-на-Дону;;ул Доватора;154/3
г Москва;;;;ул Венёвская;10
Пермский край;;г Чайковский;;ул Энтузиастов;11
Калужская обл;Малоярославецкий р-н;г Малоярославец;;ул Подольских Курсантов;5
г Москва;;;;ул Джамгаровская;5
Красноярский край;;г Красноярск;;ш Северное;11
Свердловская обл;;г Екатеринбург;;ул Черепанова;23А
Владимирская обл;Александровский р-н;г Александров;;ул Киржачская;1
г Москва;;;;ш Щёлковское;98/57
г Москва;;;;ул Введенского;4А
Липецкая обл;;г Елец;;ул Яна Фабрициуса;22
Саратовская обл;;г Энгельс;;ул Островского;40
Кировская обл;Слободской р-н;г Слободской;;ул Вятский тракт;21
Ярославская обл;;г Ярославль;;ул Осташинская;51В
Кировская обл;;г Кирово-Чепецк;кв-л Пригородный;ул Мелиораторов;24
г Москва;;;;ул Свободы;1
Челябинская обл;;г Чебаркуль;;ул Октябрьская;74
Иркутская обл;;г Усть-Илимск;;ш Усть-Илимское;12
Самарская обл;;г Самара;;ул Ново-Садовая;142Б
Ярославская обл;;г Ярославль;;ул Полушкина Роща;26
Свердловская обл;;г Екатеринбург;;пер Никольский;1
Самарская обл;;г Самара;;ул Демократическая;46/2
Владимирская обл;Вязниковский р-н;г Вязники;;ул Заготзерно;2А
Свердловская обл;;г Екатеринбург;;пер Слободской;45
Саратовская обл;;г Энгельс;;ул Полиграфическая;76
Ростовская обл;;г Ростов-на-Дону;;пр-кт Королева;11А
Пермский край;;г Пермь;;ш Космонавтов;47
Брянская обл;;г Брянск;;ул Литейная;3А
Ульяновская обл;;г Ульяновск;;ул Октябрьская;51
Московская обл;;г Подольск;;ул Авиационная;29
Тамбовская обл;;г Мичуринск;;ул Кирсановская;1
Тульская обл;Новомосковский р-н;г Новомосковск;;ул Первомайская;77
Респ Татарстан;;г Набережные Челны;;ул Машиностроительная;103
Респ Татарстан;;г Казань;;ул Аделя Кутуя;48
Пермский край;;г Пермь;;ул Архитектора Свиязева;63
Тульская обл;Новомосковский р-н;г Новомосковск;;ул Трудовые Резервы;47Г
Московская обл;;г Подольск;;ул Быковская;11
Кемеровская область - Кузбасс;Таштагольский р-н;г Таштагол;;ул Геологическая;65
Нижегородская обл;;г Кулебаки;;ул Бутова;7
г Санкт-Петербург;;;;ул Салова;45
Респ Башкортостан;;г Уфа;;ул Цветочная;9
Челябинская обл;;г Миасс;;ш Тургоякское;5/9В
Свердловская обл;;г Нижний Тагил;;ш Черноисточинское;64А
Красноярский край;;г Канск;;ул Гаражная;1Б
Кировская обл;;г Киров;;ул Производственная;25В
г Москва;;;;ул Скульптора Мухиной;13
Псковская обл;;г Великие Луки;;пер Пушкина;4
Красноярский край;;г Лесосибирск;;ул Энтузиастов;20Б
Свердловская обл;;г Екатеринбург;;ул 40-летия Комсомола;33А
Ярославская обл;Ростовский р-н;г Ростов;;ул Коммунаров;36
Ростовская обл;;г Ростов-на-Дону;;пер Энергетиков;1А/5
Респ Татарстан;Чистопольский р-н;г Чистополь;;пер Фрунзе;62Б
Ставропольский край;;г Ессентуки;;ул Пятигорская;171/3
Псковская обл;;г Псков;;ул Леона Поземского;114
Новосибирская обл;;г Бердск;;ул Красная Сибирь;2
Хабаровский край;;г Хабаровск;;ул Зеленая;3А/1
Тюменская обл;;г Ялуторовск;;ул Западная 4-я;45
Челябинская обл;;г Челябинск;;ул Комарова;34
Нижегородская обл;;г Нижний Новгород;;ул Переходникова;28
Пермский край;;г Чусовой;;ул Механическая;9
Алтайский край;;г Барнаул;;пр-кт Космонавтов;14/4В
Краснодарский край;;г Краснодар;тер Пашковский жилой массив;ул Бородинская;131/3
Респ Татарстан;Альметьевский р-н;г Альметьевск;;ул Полевая;4
Московская обл;;г Мытищи;;пр-кт Олимпийский;2
Пензенская обл;;г Пенза;;проезд Нагорный;2А
Пермский край;;г Пермь;;ул Рязанская;98
Вологодская обл;;г Вологда;;ул Гагарина;64
Липецкая обл;;г Липецк;;ул Московская;10
Белгородская обл;;г Белгород;;ул Волчанская;139
Красноярский край;;г Красноярск;;тракт Енисейский;83
Челябинская обл;;г Миасс;;пер Физкультурников;6
Московская обл;;г Подольск;;ул Правды;40
Ростовская обл;;г Ростов-на-Дону;;ул Нансена;85
Ивановская обл;;г Шуя;;ул Московская 2-я;53
Омская обл;;г Омск;;ул Енисейская;3
Красноярский край;;г Красноярск;;ул Маерчака;44
Тамбовская обл;;г Уварово;;ул Петра Ширяева;27А
Волгоградская обл;;г Волжский;;проезд 1-й Индустриальный;18
Новосибирская обл;;г Бердск;;ул Промышленная;11
Тамбовская обл;;г Моршанск;;ул Сакко и Ванцетти;16
Московская обл;г Одинцово;;с Немчиновка;ул Московская;13
Челябинская обл;;г Златоуст;;ул им Н.П.Полетаева;6Б
Челябинская обл;;г Челябинск;;пр-кт Свердловский;40А
Алтайский край;;г Бийск;п Нагорный;ул Каховская;129
Иркутская обл;;г Ангарск;;пр-кт Карла Маркса;87/5
Алтайский край;;г Барнаул;;ул Солнечная Поляна;22А
Московская обл;г Орехово-Зуево;;;ул Красина;5
Липецкая обл;Грязинский р-н;г Грязи;;ул 10 Февраля;64
г Москва;;;;ул Никулинская;5
Липецкая обл;;г Елец;;ул 9 Декабря;39В
Пермский край;;г Березники;;ул Парижской Коммуны;19
Калининградская обл;;г Калининград;;пр-кт Советский;204А
Нижегородская обл;;г Дзержинск;;пр-кт Ленина;4А
Иркутская обл;;г Ангарск;;пр-кт Карла Маркса;87/9
Курганская обл;;г Курган;;пр-кт Машиностроителей;38В
Свердловская обл;Режевский р-н;г Реж;;ул Советская;2
Кировская обл;;г Киров;;проезд Хлебозаводской;3
Алтайский край;;г Бийск;;ул Вячеслава Шишкова;29А
Калининградская обл;;г Калининград;;пр-кт Московский;181
Московская обл;;г Ступино;;ул Загородная;15
Московская обл;г Шатура;;;ул 1 Мая;12А
Самарская обл;;г Самара;;тер Московское шоссе 17 км Ясная поляна;14
Свердловская обл;;г Серов;;ул Карбышева;29
Пермский край;;г Пермь;;ул Свердловская;2А
Калининградская обл;;г Калининград;;ул Дзержинского;244
Ставропольский край;;г Ставрополь;;пр-кт Кулакова;18
Пермский край;Осинский р-н;г Оса;;ул Карла Маркса;54
г Москва;;;;ул Крылатские Холмы;47
г Москва;;;;ул Шипиловская;28Г
Ростовская обл;Обливский р-н;;ст-ца Обливская;ул Ленина;21
Волгоградская обл;;г Волжский;;ул Горького;102А
Оренбургская обл;;г Орск;;ул Вяземская;43А
Московская обл;;г Королёв;;ул Пионерская;1А
Нижегородская обл;;г Нижний Новгород;;ул Чаадаева;1
Ростовская обл;;г Ростов-на-Дону;;ул Малиновского;42Б
Брянская обл;;г Брянск;;пр-кт Московский;2Ж
Свердловская обл;;г Каменск-Уральский;;ул Рябова;1
Московская обл;;г Балашиха;мкр Салтыковка;ш Носовихинское;24
Респ Удмуртская;;г Ижевск;;ул Маяковского;42Б
г Москва;;;;ул Тарусская;3А
г Москва;;;;ш Варшавское;150
Рязанская обл;;г Рязань;;ш Московское;31
Ставропольский край;;г Пятигорск;;ш Бештаугорское;15Б
Кемеровская область - Кузбасс;;г Кемерово;;ул Докучаева;1
Кемеровская область - Кузбасс;;г Кемерово;;б-р Строителей;56
Тюменская обл;;г Тюмень;;ул Федюнинского;4А
г Санкт-Петербург;;;п Петро-Славянка;ул Софийская;127
Тюменская обл;;г Тобольск;тер БСИ-2-квартал 2;;3
Пермский край;;г Лысьва;;пр-кт Победы;16Б
Омская обл;;г Омск;;ул 9-я Ленинская;55
Пермский край;Кудымкарский р-н;;д Степанова;ул Центральная;35
Тверская обл;;г Кимры;;проезд Савеловский;11
Ханты-Мансийский Автономный округ - Югра АО;;г Сургут;;ш Нефтеюганское;50
Томская обл;;г Томск;;ул 1-я Ново-Деповская;65
Новосибирская обл;;г Новосибирск;;ул Демьяна Бедного;55
г Москва;;;;проезд Ижорский;17
Красноярский край;;г Красноярск;;ул Гусарова;6А
Курганская обл;;г Курган;;ул Омская;143
Калининградская обл;;г Калининград;;ул Генерала Челнокова;43
Кировская обл;;г Киров;;ул Ломоносова;3А
Тверская обл;;г Тверь;;пер Третьяковский;99
Смоленская обл;;г Смоленск;;ул Шевченко;87
Кемеровская область - Кузбасс;;г Кемерово;;пр-кт Кузнецкий;43А
Калужская обл;;г Калуга;;ул Московская;280
Орловская обл;;г Орёл;;ш Московское;173
Респ Крым;;г Симферополь;;ул Глинки;67Г
Респ Карелия;;г Петрозаводск;р-н Рыбка;ул Новосулажгорская;5
Респ Башкортостан;;г Уфа;;ул Трамвайная;4А
Респ Татарстан;Лениногорский р-н;г Лениногорск;;ул Корчагина;8А
Респ Башкортостан;;г Нефтекамск;;ул Дорожная;38
Пензенская обл;;г Пенза;;пр-кт Победы;88
Оренбургская обл;;г Оренбург;;ул Механизаторов;1
Нижегородская обл;;г Нижний Новгород;;тер ГСК Подновье (сл.Подновье);577
Респ Марий Эл;;г Йошкар-Ола;;ул Фестивальная;72Б
Пензенская обл;;г Пенза;;ул Совхозная;15Г
Челябинская обл;;г Челябинск;;ул Братьев Кашириных;114Б
Нижегородская обл;;г Дзержинск;;ул Попова;40
Воронежская обл;;г Воронеж;;ул Дружинников;26
Ростовская обл;;г Таганрог;;ул Александровская;220
г Санкт-Петербург;;;;ул Доблести;28
Тамбовская обл;;г Рассказово;;ул Пролетарская;439А
Владимирская обл;;г Владимир;;ул Куйбышева;22Б
Вологодская обл;;г Череповец;;ш Кирилловское;58
Нижегородская обл;Городецкий р-н;г Заволжье;;ул Рылеева;24
Красноярский край;;г Красноярск;;ул 2-я Брянская;12
Челябинская обл;;г Магнитогорск;;ул Магнитная;111
Пензенская обл;;г Пенза;;ул Окружная;30
Нижегородская обл;;г Нижний Новгород;;ул Федосеенко;51Б
Самарская обл;;г Самара;тер 16 км Московского шоссе;;1В
Омская обл;;г Омск;;ул Дмитриева;18
г Москва;;;;ул Маломосковская;22
Владимирская обл;Меленковский р-н;г Меленки;;ул Красноармейская;93
Краснодарский край;;г Краснодар;;ул Российская;11
Челябинская обл;;г Челябинск;;ул Барбюса;2
Архангельская обл;;г Северодвинск;;ул Южная;134
Ульяновская обл;;г Ульяновск;;ул Брестская;78
г Москва;;;;ул Кетчерская;2А
Кировская обл;;г Киров;;ул Солнечная;4
Камчатский край;;г Петропавловск-Камчатский;;ул Академика Королева;63
Ростовская обл;;г Шахты;;ул Советская;105
Челябинская обл;;г Магнитогорск;;ул Советской Армии;2
Челябинская обл;;г Челябинск;;ш Копейское;35А
Респ Татарстан;Бугульминский р-н;г Бугульма;;ул Сергея Кирова;47
Саратовская обл;;г Балашов;;ул Большая Садовая;46
Челябинская обл;;г Магнитогорск;;ул Советская;32
Московская обл;г Орехово-Зуево;;;ш Малодубенское;30
Красноярский край;;г Красноярск;;ул Калинина;53
Омская обл;;г Омск;;ул Машиностроительная;76
Владимирская обл;;г Владимир;;ш Московское;6А
Волгоградская обл;Котовский р-н;г Котово;;ул Калинина;106А
Респ Башкортостан;;г Салават;;б-р Монтажников;1
Костромская обл;;г Кострома;;ул Никитская;45А
Респ Хакасия;;г Саяногорск;;ул Ветеранов труда;5
Московская обл;;г Подольск;;ул Лобачева;13
Челябинская обл;;г Челябинск;;ул Пионерская;4А
Челябинская обл;;г Магнитогорск;;ул Рабочая;122
Камчатский край;;г Петропавловск-Камчатский;;ул Пограничная;46
Московская обл;;г Раменское;;ш Северное;1
Нижегородская обл;;г Нижний Новгород;;ш Комсомольское;3Б
Калининградская обл;;г Калининград;;ул Яблочная;3Д
Томская обл;;г Северск;;ул Советская;1
Челябинская обл;;г Челябинск;;ул Труда;11
Кировская обл;;г Кирово-Чепецк;;ул Комсомольская;1А
Вологодская обл;;г Вологда;;пр-кт Победы;81
Челябинская обл;;г Златоуст;;п Айский;1Д
Самарская обл;;г Самара;;ул Мориса Тореза;67
Респ Татарстан;Нижнекамский р-н;г Нижнекамск;;ул Студенческая;20Б
Нижегородская обл;;г Нижний Новгород;;ул Строкина;3Д
Оренбургская обл;;г Орск;;ул Вяземская;24
Красноярский край;;г Красноярск;;ш Северное;31А
г Москва;;;;б-р Мячковский;23
Саратовская обл;;г Саратов;;ул Новоузенская;120
г Москва;;;;ул Пришвина;10А
Респ Татарстан;Альметьевский р-н;г Альметьевск;;ул Тургенева;28
Оренбургская обл;;г Оренбург;;ул Шевченко;24
г Санкт-Петербург;;;;ул Симонова;15
Кировская обл;;г Киров;;проезд Мелькомбинатовский;1
Тульская обл;Новомосковский р-н;г Новомосковск;;ул Первомайская;73
Красноярский край;;г Красноярск;;ул Партизана Железняка;33Г
Курская обл;;г Курск;;ул 50 лет Октября;126
Респ Бурятия;;г Улан-Удэ;;пр-кт Автомобилистов;5
Московская обл;;г Подольск;д Бережки;ул Крымская;30
Респ Крым;;г Ялта;;ул Спендиарова;9А
Респ Башкортостан;Дюртюлинский р-н;;с Иванаево;ул Комсомольская;11А
Респ Удмуртская;;г Ижевск;;ул Леваневского;119
Ростовская обл;;г Ростов-на-Дону;;ул Доватора;160/2
Амурская обл;;г Белогорск;;ул 9 Мая;2А
Хабаровский край;;г Хабаровск;;ул Байкальская;13
Пермский край;Чернушинский р-н;г Чернушка;;пер Азина;1
Нижегородская обл;;г Арзамас;мкр Дубки;ул Медицинская;2
Ивановская обл;;г Иваново;;ул Сарментовой;9
Свердловская обл;Артемовский р-н;г Артемовский;;ул Металлистов;19А
Омская обл;Исилькульский р-н;г Исилькуль;;ул Коммунистическая;10
Челябинская обл;;г Южноуральск;;ул Мира;56
Оренбургская обл;;г Орск;;ул Вокзальное шоссе;40
Челябинская обл;;г Челябинск;;ул Шадринская;102
Оренбургская обл;;г Оренбург;;ул Волгоградская;9
Респ Башкортостан;Стерлитамакский р-н;;тер Раевский тракт;;1В
Омская обл;;г Омск;;б-р Архитекторов;20
Рязанская обл;;г Рязань;;ул Станкозаводская;17А
Хабаровский край;;г Хабаровск;;ул Воронежская;141
Свердловская обл;;г Екатеринбург;;ул Шефская;2Г
Респ Башкортостан;;г Салават;;ул Северная;29
Ленинградская обл;Кировский р-н;г Отрадное;;ш Ленинградское;11
Камчатский край;;г Петропавловск-Камчатский;;ул Кавказская;57Б
Томская обл;;г Томск;;ул Яковлева;26
г Москва;;;;ул Балтийская;59
Пермский край;;г Пермь;;ул Инженерная;3А
Нижегородская обл;;г Дзержинск;;ул Советская;8
Тюменская обл;;г Тюмень;;ул Сосновая;6
Респ Башкортостан;Баймакский р-н;г Баймак;;ул М.Цветаевой;8
Пермский край;;г Пермь;;ул Героев Хасана;48
г Санкт-Петербург;;;;ул Политехническая;3
Пермский край;;г Пермь;;ул Василия Васильева;3В
Белгородская обл;;г Белгород;;ул Корочанская;150
Чувашская Республика - Чувашия;;г Чебоксары;;ул Гражданская;51
Респ Коми;;г Сыктывкар;;ул Савина;81
г Санкт-Петербург;;;;пр-кт Витебский;9
Свердловская обл;;г Екатеринбург;;ул Волгоградская;84
Алтайский край;;г Рубцовск;;ул Коммунальная;257А
Свердловская обл;;г Екатеринбург;;ул Гурзуфская;47
Московская обл;г Орехово-Зуево;;;ул Егорьевская;7
г Москва;;;;ул Витебская;9
Ростовская обл;Миллеровский р-н;г Миллерово;;ул 3 Интернационала;80
Мурманская обл;Кандалакшский р-н;г Кандалакша;;ул 50 лет Октября;1
Камчатский край;Елизовский р-н;г Елизово;;ул Магистральная;1
Самарская обл;;г Чапаевск;;ул Макаренко;16
Ивановская обл;;г Иваново;;ул Карла Маркса;46
Кемеровская область - Кузбасс;;г Ленинск-Кузнецкий;;ул Телефонная;11В
Алтайский край;;г Бийск;;ул Социалистическая;13
Приморский край;;г Владивосток;;ул Выселковая;50Д
Свердловская обл;;г Кировград;;ул Свердлова;22
Респ Мордовия;;г Ковылкино;;ул Пролетарская;25Б
Респ Башкортостан;;г Уфа;;ул Бакалинская;66
Кемеровская область - Кузбасс;;г Кемерово;;ул Баумана;8
Ростовская обл;;г Волгодонск;;ул Гаражная;27
Мурманская обл;Печенгский р-н;г Заполярный;;ул Юбилейная;14А
Краснодарский край;;г Краснодар;;ул Уральская;98
Кировская обл;;г Киров;;пр-кт Октябрьский;116
г Москва;;;;ул Боровая;7
Смоленская обл;Вяземский р-н;г Вязьма;;ул 25 Октября;34
Новгородская обл;;г Великий Новгород;;ул Линейная;40
Самарская обл;;г Самара;;ш Южное;12А
Хабаровский край;;г Комсомольск-на-Амуре;;ш Северное;42
Красноярский край;Емельяновский р-н;;п Солонцы;пр-кт Котельникова;29
Челябинская обл;;г Челябинск;;ул Елькина;65
Респ Башкортостан;;г Уфа;;ул Маршала Жукова;39/2
Московская обл;;г Можайск;;ул Рабочая;1
Воронежская обл;Россошанский р-н;г Россошь;;ул Мира;168В
Краснодарский край;Кущевский р-н;;ст-ца Кущевская;пер Кубанский;47А
Самарская обл;;г Тольятти;;ул Толстого;34
Самарская обл;;г Тольятти;;ул Новозаводская;3
Московская обл;г Ногинск;;;ул Декабристов;158Б
Волгоградская обл;;г Волгоград;;пр-кт им. В.И. Ленина;120А
Московская обл;;г Бронницы;;ул Строительная;6А
Тверская обл;;г Тверь;;ш Старицкое;6
Архангельская обл;Котласский р-н;г Котлас;;ул Ленина;61
Краснодарский край;Приморско-Ахтарский р-н;г Приморско-Ахтарск;;ул Кубанская;163
Свердловская обл;;г Екатеринбург;;ул Учителей;32А
Красноярский край;;г Красноярск;;ул Водопьянова;1Г
Волгоградская обл;;г Волгоград;;ул Революционная;2А
Респ Марий Эл;;г Йошкар-Ола;;ул Строителей;110
г Санкт-Петербург;;;;дор Кушелевская;20
г Москва;;;;ул Василия Петушкова;3
Пермский край;;г Пермь;;ул Космонавта Леонова;82
Калужская обл;;г Калуга;;ул Салтыкова-Щедрина;76
Воронежская обл;;г Воронеж;;ул Чебышева;24А
Пермский край;;г Пермь;;ул Архитектора Свиязева;43
Курская обл;;г Курск;;ул Энгельса;134
Иркутская обл;;г Иркутск;;ул Розы Люксембург;5В
